,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
664,2527089,Tiznit,MA,-9.73,29.7,2018-04-03 17:00:00,62.75,79,44,11.1
665,3521972,Panaba,MX,-88.27,21.28,2018-04-03 17:00:00,88.13,49,76,10.76
699,3653015,Playas,EC,-80.39,-2.64,2018-04-03 17:00:00,84.98,68,0,6.62
701,503401,Pyshchug,RU,45.71,58.89,2018-04-03 17:00:00,35.3,99,92,9.19
31,3938415,Ilo,PE,-71.34,-17.65,2018-04-03 17:00:00,74.9,62,0,5.06
42,933211,Nokaneng,BW,22.19,-19.66,2018-04-03 17:00:00,78.77,35,44,8.75
68,212360,Kongolo,CD,27,-5.39,2018-04-03 17:00:00,68.87,99,92,4.61
85,3389012,Sao Benedito do Rio Preto,BR,-43.53,-3.33,2018-04-03 17:00:00,84.8,81,48,5.61
99,658288,Heinola,FI,26.03,61.2,2018-04-03 17:00:00,32,66,0,6.93
104,2255542,Owando,CG,15.91,-0.49,2018-04-03 17:00:00,78.32,77,36,3.83
111,4402245,Ozark,US,-93.21,37.02,2018-04-03 17:00:00,65.8,87,90,21.92
115,1528121,Karakol,KG,78.39,42.49,2018-04-03 17:00:00,18.74,96,0,2.59
130,1516589,Zhezkazgan,KZ,67.71,47.8,2018-04-03 17:00:00,30.98,71,0,17.36
135,984087,Lebowakgomo,ZA,29.54,-24.3,2018-04-03 17:00:00,69.8,60,0,6.93
137,3446295,Torres,BR,-49.73,-29.34,2018-04-03 17:00:00,72.92,96,24,7.74
170,3699484,Bagua Grande,PE,-78.44,-5.75,2018-04-03 17:00:00,64.01,97,100,2.26
203,1529484,Hami,CN,93.51,42.84,2018-04-03 17:00:00,49.61,60,92,7.63
216,3893656,Copiapo,CL,-70.33,-27.37,2018-04-03 17:00:00,71.6,49,0,4.7
224,2413753,Brufut,GM,-16.75,13.38,2018-04-03 17:00:00,78.8,57,0,12.75
252,3662489,Santa Isabel do Rio Negro,BR,-65.02,-0.41,2018-04-03 17:00:00,77.42,100,68,4.16
284,3570675,Fort-de-France,MQ,-61.07,14.61,2018-04-03 17:00:00,86,58,20,17.22
288,3655185,Samana,EC,-76.97,0.12,2018-04-03 17:00:00,78.8,94,90,2.24
312,3169811,Priverno,IT,13.18,41.47,2018-04-03 17:00:00,59.88,51,0,5.82
319,3394326,Muana,BR,-49.22,-1.53,2018-04-03 17:00:00,81.29,93,64,2.93
355,2399001,Mayumba,GA,10.65,-3.44,2018-04-03 17:00:00,80.39,97,80,7.18
362,2448245,Abalak,NE,6.28,15.46,2018-04-03 17:00:00,89.48,19,0,5.84
420,1255449,Sunam,IN,75.81,30.13,2018-04-03 17:00:00,72.11,74,0,2.71
498,3386177,Trairi,BR,-39.27,-3.28,2018-04-03 17:00:00,81.47,100,12,12.77
516,3183287,Alfonsine,IT,12.04,44.51,2018-04-03 17:00:00,59.02,58,20,10.29
529,736694,Apollonia,GR,23.49,40.64,2018-04-03 17:00:00,59,67,0,8.05
538,3897347,Calama,CL,-68.93,-22.46,2018-04-03 17:00:00,65.09,41,0,4.05
548,1274989,Candolim,IN,73.76,15.52,2018-04-03 17:00:00,78.59,100,0,9.86
554,569223,Cherepovets,RU,37.92,59.13,2018-04-03 17:00:00,31.16,87,12,14
566,3195222,Metkovic,HR,17.65,43.05,2018-04-03 17:00:00,62.6,75,0,3.36
