,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
380,364933,Umm Kaddadah,SD,26.69,13.6,2018-04-03 17:00:00,74.09,11,0,8.08
382,3665202,Aripuana,BR,-60.63,-9.17,2018-04-03 17:00:00,83.45,79,56,2.93
383,3629710,Puerto Ayacucho,CO,-67.63,5.66,2018-04-03 17:00:00,93.2,46,40,3.71
387,2852233,Premnitz,DE,12.34,52.53,2018-04-03 17:00:00,62.6,51,0,5.82
388,5129852,Oneonta,US,-75.06,42.45,2018-04-03 17:00:00,35.75,100,92,5.61
392,4908737,Saint Charles,US,-88.31,41.91,2018-04-03 17:00:00,39.34,100,90,9.17
394,793015,Backo Gradiste,RS,20.03,45.53,2018-04-03 17:00:00,64.4,31,0,6.93
429,3662762,Porto Velho,BR,-63.87,-8.75,2018-04-03 17:00:00,84.2,70,75,3.36
431,3665016,Benjamin Constant,BR,-70.03,-4.38,2018-04-03 17:00:00,74.37,100,75,5.82
436,485799,Svecha,RU,47.52,58.28,2018-04-03 17:00:00,36.02,90,88,12.21
437,2158744,Margate,AU,147.26,-43.03,2018-04-03 17:00:00,59,58,75,5.82
442,215976,Ilebo,CD,20.59,-4.33,2018-04-03 17:00:00,71.12,98,92,2.15
447,706352,Pryozerne,UA,24.47,49.42,2018-04-03 17:00:00,52.84,57,0,8.95
448,547677,Kletskaya,RU,43.06,49.31,2018-04-03 17:00:00,35.75,96,56,11.65
462,2347758,Bara,NG,10.6,10.41,2018-04-03 17:00:00,89.03,32,0,3.71
485,337010,Gelemso,ET,40.52,8.81,2018-04-03 17:00:00,56.72,93,68,0.92
487,1499428,Mamontovo,RU,81.63,52.71,2018-04-03 17:00:00,17.57,83,48,6.62
499,5178040,Wexford,US,-80.06,40.63,2018-04-03 17:00:00,50.81,100,90,12.75
509,2294034,Winneba,GH,-0.62,5.35,2018-04-03 17:00:00,84.2,83,75,19.46
524,1504382,Kargasok,RU,80.87,59.06,2018-04-03 17:00:00,13.07,67,44,7.07
537,107304,Buraydah,SA,43.97,26.33,2018-04-03 17:00:00,80.6,51,75,11.41
539,2027456,Artyom,RU,132.19,43.36,2018-04-03 17:00:00,37.4,19,80,5.06
562,736151,Grevena,GR,21.43,40.09,2018-04-03 17:00:00,59,51,20,3.04
572,1519030,Shu,KZ,73.76,43.6,2018-04-03 17:00:00,43.49,43,0,21.5
600,704508,Oleksandrivka,UA,37.49,48.74,2018-04-03 17:00:00,38.72,77,8,7.52
603,525961,Mochalishche,RU,48.35,56.33,2018-04-03 17:00:00,37.4,64,0,17.9
607,1053384,Toamasina,MG,49.38,-18.17,2018-04-03 17:00:00,80.6,83,40,4.7
640,3401148,Cururupu,BR,-44.87,-1.82,2018-04-03 17:00:00,80.57,100,44,4.16
644,260895,Karpathos,GR,27.21,35.51,2018-04-03 17:00:00,62.6,63,0,18.34
674,359792,Aswan,EG,32.9,24.09,2018-04-03 17:00:00,87.8,9,0,5.82
681,1490085,Tarko-Sale,RU,77.78,64.92,2018-04-03 17:00:00,-7.37,62,32,3.15
693,649924,Kuusamo,FI,29.19,65.96,2018-04-03 17:00:00,28.4,92,90,9.17
700,4944903,Nantucket,US,-70.1,41.28,2018-04-03 17:00:00,43.52,60,90,16.11
716,3395042,Mazagao,BR,-51.29,-0.12,2018-04-03 17:00:00,89.6,62,75,2.24
3,3385658,Urucui,BR,-44.56,-7.23,2018-04-03 17:00:00,86.15,66,32,3.94
23,489741,Spassk-Ryazanskiy,RU,40.38,54.41,2018-04-03 17:00:00,29.45,85,24,6.96
24,218680,Boende,CD,20.88,-0.28,2018-04-03 17:00:00,76.34,84,48,4.72
28,2972695,Thouars,FR,-0.22,46.98,2018-04-03 17:00:00,54.52,76,0,4.7
47,3441894,Maldonado,UY,-54.96,-34.91,2018-04-03 17:00:00,71.6,78,75,10.29
48,1538641,Kedrovyy,RU,91.82,56.17,2018-04-03 17:00:00,23,85,75,13.42
50,3404558,Cabedelo,BR,-34.84,-6.97,2018-04-03 17:00:00,84.08,85,32,13.44
75,2451778,San,ML,-4.9,13.3,2018-04-03 17:00:00,99.74,18,0,6.06
81,3869716,Tocopilla,CL,-70.2,-22.09,2018-04-03 17:00:00,67.34,99,0,5.84
101,527321,Mezen,RU,44.24,65.85,2018-04-03 17:00:00,36.47,99,80,7.96
105,3572462,Dunmore Town,BS,-76.65,25.5,2018-04-03 17:00:00,74.81,100,48,10.2
118,1537939,Stepnogorsk,KZ,71.88,52.35,2018-04-03 17:00:00,8.57,51,0,3.71
120,2420883,Fria,GN,-13.58,10.36,2018-04-03 17:00:00,87.86,43,0,11.43
131,730744,Kalofer,BG,24.97,42.61,2018-04-03 17:00:00,59,51,0,4.7
136,610611,Aqtobe,KZ,57.21,50.28,2018-04-03 17:00:00,32,89,0,8.95
142,1280037,Shache,CN,77.24,38.42,2018-04-03 17:00:00,55.46,53,92,9.53
143,5911440,Burgeo,CA,-57.61,47.61,2018-04-03 17:00:00,31.07,100,0,22.73
161,3019766,La Baule-Escoublac,FR,-2.4,47.28,2018-04-03 17:00:00,55.4,71,0,12.75
167,542463,Krasnoarmeysk,RU,38.15,56.12,2018-04-03 17:00:00,37.4,64,75,8.95
172,933677,Kasane,BW,25.16,-17.8,2018-04-03 17:00:00,73.4,73,0,5.82
175,6943826,New Richmond,CA,-65.87,48.17,2018-04-03 17:00:00,35.6,47,90,10.29
186,5944222,Dunnville,CA,-79.62,42.9,2018-04-03 17:00:00,39.22,94,90,19.46
190,515175,Oparino,RU,48.28,59.85,2018-04-03 17:00:00,38.72,84,92,11.65
194,2399371,Makokou,GA,12.85,0.56,2018-04-03 17:00:00,78.14,83,12,3.15
210,1487332,Verkhnyaya Inta,RU,60.32,65.99,2018-04-03 17:00:00,27.29,74,92,7.18
215,2315417,Inongo,CD,18.29,-1.93,2018-04-03 17:00:00,74.81,86,80,2.48
220,212962,Moba,CD,29.77,-7.04,2018-04-03 17:00:00,68.24,100,56,1.14
222,2336237,Jega,NG,4.38,12.22,2018-04-03 17:00:00,95.69,28,0,4.16
236,3686513,Cordoba,CO,-73.79,5.59,2018-04-03 17:00:00,59.06,93,80,2.37
247,49747,Xuddur,SO,43.89,4.12,2018-04-03 17:00:00,72.02,94,44,4.83
248,509483,Pinega,RU,43.39,64.7,2018-04-03 17:00:00,36.83,97,88,9.42
274,2240449,Luanda,AO,13.24,-8.83,2018-04-03 17:00:00,82.4,78,75,9.17
275,2873499,Mariental,DE,10.99,52.28,2018-04-03 17:00:00,62.6,48,0,5.82
279,3397763,Jacareacanga,BR,-57.76,-6.22,2018-04-03 17:00:00,91.4,66,20,6.93
290,3685335,Curumani,CO,-73.54,9.2,2018-04-03 17:00:00,83.45,75,48,4.72
298,3347762,Lubango,AO,13.49,-14.92,2018-04-03 17:00:00,68.06,95,92,2.71
307,2315026,Kasongo-Lunda,CD,16.82,-6.48,2018-04-03 17:00:00,74.99,85,92,2.37
316,3625710,Upata,VE,-62.41,8.02,2018-04-03 17:00:00,88.58,50,36,7.29
317,1167380,Rajanpur,PK,70.33,29.1,2018-04-03 17:00:00,77.24,51,0,4.72
339,3440777,Rocha,UY,-54.34,-34.48,2018-04-03 17:00:00,70.94,82,80,6.73
352,1270525,Sarai,IN,85.28,25.78,2018-04-03 17:00:00,80.6,57,12,3.36
357,545982,Kolyshley,RU,44.54,52.7,2018-04-03 17:00:00,33.59,96,92,6.29
367,933787,Dutlwe,BW,23.93,-23.98,2018-04-03 17:00:00,74.54,51,80,8.41
369,906044,Monze,ZM,27.48,-16.28,2018-04-03 17:00:00,69.05,71,0,6.4
372,3491355,Black River,JM,-77.85,18.03,2018-04-03 17:00:00,82.4,69,20,17.22
378,158825,Izazi,TZ,35.72,-7.24,2018-04-03 17:00:00,69.8,68,75,5.82
391,1689431,San Jose,PH,120.99,15.79,2018-04-03 17:00:00,70.22,100,80,1.7
393,4957320,Bar Harbor,US,-68.2,44.39,2018-04-03 17:00:00,44.94,60,1,20.8
398,212902,Kindu,CD,25.92,-2.95,2018-04-03 17:00:00,74.9,86,92,2.93
401,303873,Nazilli,TR,28.32,37.91,2018-04-03 17:00:00,64.4,42,0,1.12
413,2737904,Marinhas,PT,-8.78,41.56,2018-04-03 17:00:00,53.6,93,75,17.22
424,110690,Abha,SA,42.5,18.22,2018-04-03 17:00:00,65.26,42,20,1.59
432,772748,Dzialdowo,PL,20.17,53.24,2018-04-03 17:00:00,45.11,89,32,8.41
458,863061,Usinsk,RU,57.56,66,2018-04-03 17:00:00,35.39,92,92,16.24
467,1705441,Lubao,PH,120.6,14.94,2018-04-03 17:00:00,78.28,83,75,2.24
468,933162,Pilikwe,BW,27.19,-22.8,2018-04-03 17:00:00,68.24,63,0,6.96
473,1242833,Chavakachcheri,LK,80.16,9.66,2018-04-03 17:00:00,82.37,100,12,8.97
500,2685750,Ostersund,SE,14.64,63.18,2018-04-03 17:00:00,32,67,0,8.05
567,871870,Mursalimkino,RU,58.56,55.04,2018-04-03 17:00:00,30.26,78,44,4.16
590,2460954,Araouane,ML,-3.53,18.9,2018-04-03 17:00:00,97.31,10,0,3.04
592,2985229,Provins,FR,3.3,48.56,2018-04-03 17:00:00,50.9,87,0,10.29
598,203717,Yangambi,CD,24.47,0.77,2018-04-03 17:00:00,69.77,100,92,3.6
613,2130629,Toma,JP,142.6,43.82,2018-04-03 17:00:00,25.04,75,24,4.16
617,1062663,Mahajanga,MG,46.32,-15.72,2018-04-03 17:00:00,80.6,88,20,4.7
623,1283679,Banepa,NP,85.52,27.63,2018-04-03 17:00:00,64.4,82,75,2.24
631,523161,Navoloki,RU,41.96,57.47,2018-04-03 17:00:00,30.89,88,0,9.19
633,1514792,Gazojak,TM,61.4,41.19,2018-04-03 17:00:00,48.44,78,0,3.71
637,2745088,Wageningen,NL,5.66,51.98,2018-04-03 17:00:00,59.72,62,75,12.75
639,4061234,Fairhope,US,-87.9,30.52,2018-04-03 17:00:00,78.49,61,75,16.11
645,3839479,Rafaela,AR,-61.49,-31.25,2018-04-03 17:00:00,71.66,98,76,4.72
657,155921,Liwale,TZ,37.92,-9.8,2018-04-03 17:00:00,72.65,89,68,4.72
660,1217007,Koson,UZ,65.59,39.04,2018-04-03 17:00:00,62.6,51,0,4.7
676,490040,Sovetskiy,RU,48.47,56.76,2018-04-03 17:00:00,33.14,93,0,15.68
684,2563140,Dingli,MT,14.38,35.86,2018-04-03 17:00:00,59,82,20,12.75
705,2541479,Nador,MA,-2.93,35.17,2018-04-03 17:00:00,68.25,59,0,10.29
708,475469,Verkhnetulomskiy,RU,31.8,68.61,2018-04-03 17:00:00,28.4,92,75,4.47
710,4335045,Algiers,US,-90.04,29.94,2018-04-03 17:00:00,80.6,65,75,17.22
713,370510,Marabba,SD,32.18,12.35,2018-04-03 17:00:00,82.91,27,0,7.07
719,520552,Nizhniy Odes,RU,54.86,63.64,2018-04-03 17:00:00,39.53,84,92,9.98
12,98182,Baghdad,IQ,44.38,33.3,2018-04-03 17:00:00,80.6,30,0,4.7
37,608324,Shetpe,KZ,52.16,44.14,2018-04-03 17:00:00,53.3,56,32,4.38
